### Zep Eye-movement data ###
type;t;t_start;t_end;t_update;eye;ignore;distance;left_x;left_y;left_pupil;right_x;right_y;right_pupil;msg
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;RECORDED BY: Zep 1.14.1
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;EXPERIMENT: wordseg
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;RESEARCHER: EE
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;PARTICIPANT: ws27
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;SESSION: 31
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;LIST: 1
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;RECORDING: 0
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;Preferential Listening Segmentation
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;trialbeg 1 1 1 GEMER
MESSAGE;0;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;plafile GEMER1.bmp
MESSAGE;3155;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;SYNCTIME 17
MESSAGE;3156;0;0;0;EYE_TYPE_NONE;false;0;0;0;0;0;0;0;17DISPLAY ON
GAZE_SAMPLE;3173;0;0;0;EYE_TYPE_RIGHT;true;570;684;535;377;684;535;377;
GAZE_SAMPLE;3175;0;0;0;EYE_TYPE_RIGHT;true;570;684;525;375;684;525;375;
GAZE_SAMPLE;3177;0;0;0;EYE_TYPE_RIGHT;true;570;684;525;374;684;525;374;
GAZE_SAMPLE;3179;0;0;0;EYE_TYPE_RIGHT;true;570;684;522;374;684;522;374;
GAZE_SAMPLE;3181;0;0;0;EYE_TYPE_RIGHT;true;570;684;523;374;684;523;374;
GAZE_SAMPLE;3183;0;0;0;EYE_TYPE_RIGHT;true;570;681;532;374;681;532;374;
GAZE_SAMPLE;3185;0;0;0;EYE_TYPE_RIGHT;true;570;681;539;375;681;539;375;
FIXATION_START;3167;3167;0;0;EYE_TYPE_RIGHT;false;0;681;531;373;681;531;373;
GAZE_SAMPLE;3187;0;0;0;EYE_TYPE_RIGHT;true;570;685;539;375;685;539;375;
GAZE_SAMPLE;3189;0;0;0;EYE_TYPE_RIGHT;true;570;685;528;376;685;528;376;
GAZE_SAMPLE;3191;0;0;0;EYE_TYPE_RIGHT;true;570;685;528;378;685;528;378;
GAZE_SAMPLE;3193;0;0;0;EYE_TYPE_RIGHT;true;570;688;532;378;688;532;378;
GAZE_SAMPLE;3195;0;0;0;EYE_TYPE_RIGHT;true;570;690;536;377;690;536;377;
GAZE_SAMPLE;3197;0;0;0;EYE_TYPE_RIGHT;true;570;690;536;376;690;536;376;
GAZE_SAMPLE;3199;0;0;0;EYE_TYPE_RIGHT;true;570;682;536;371;682;536;371;
GAZE_SAMPLE;3201;0;0;0;EYE_TYPE_RIGHT;true;570;681;536;371;681;536;371;
GAZE_SAMPLE;3203;0;0;0;EYE_TYPE_RIGHT;true;570;681;535;371;681;535;371;
GAZE_SAMPLE;3205;0;0;0;EYE_TYPE_RIGHT;true;570;676;534;371;676;534;371;
GAZE_SAMPLE;3207;0;0;0;EYE_TYPE_RIGHT;true;570;676;534;375;676;534;375;
GAZE_SAMPLE;3209;0;0;0;EYE_TYPE_RIGHT;true;570;676;531;375;676;531;375;
GAZE_SAMPLE;3211;0;0;0;EYE_TYPE_RIGHT;true;570;677;524;375;677;524;375;
GAZE_SAMPLE;3213;0;0;0;EYE_TYPE_RIGHT;true;570;677;524;374;677;524;374;
GAZE_SAMPLE;3215;0;0;0;EYE_TYPE_RIGHT;true;570;676;530;377;676;530;377;
GAZE_SAMPLE;3217;0;0;0;EYE_TYPE_RIGHT;true;570;676;536;377;676;536;377;
